"Product","tot_quantity","total_sales"
"20in Monitor",4129,454148.71
"27in 4K Gaming Monitor",6244,2435097.56
"27in FHD Monitor",7550,1132424.5
"34in Ultrawide Monitor",6199,2355558.01
"AA Batteries (4-pack)",27635,106118.4
"AAA Batteries (4-pack)",31017,92740.83
"Apple Airpods Headphones",15661,2349150
"Bose SoundSport Headphones",13457,1345565.43
"Flatscreen TV",4819,1445700
"Google Phone",5532,3319200
"LG Dryer",646,387600
"LG Washing Machine",666,399600
"Lightning Charging Cable",23217,347094.15
"Macbook Pro Laptop",4728,8037600
"ThinkPad Laptop",4130,4129958.7
"USB-C Charging Cable",23975,286501.25
"Vareebadd Phone",2068,827200
"Wired Headphones",20557,246478.43
"iPhone",6849,4794300
